"NAME","DESCRIPTION","ADDRESSBLOCKHOUSENUMBER","ADDRESSPOSTALCODE","ADDRESSSTREETNAME","PHOTOURL","LANDXADDRESSPOINT","LANDYADDRESSPOINT","EST_ORIGINAL_COMPLETION_DATE","STATUS","ADDRESSTYPE","HUP_COMPLETION_DATE","ADDRESS_MYENV","Lat","Lng","ICON_NAME","APPROXIMATE_GFA","ADDRESSBUILDINGNAME","AWARDED_DATE","IMPLEMENTATION_DATE","CLEANINGENDDATE","CLEANINGSTARTDATE","INFO_ON_CO_LOCATORS","RNR_STATUS"
"Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)","HUP Reconfiguration","13/14","430013","Haig Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg","34932.38","33047.33","30/7/1977","Existing","I","4/8/2010","Blk 13/14, Haig Road, Singapore 430013/430014","1.3151420505272","103.895609494855","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre)","HUP Standard Upgrading","22A/B","161022","Havelock Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg","27589.14","30043.3","16/11/1969","Existing","I","27/4/2007","Blk 22A/B, Havelock Road, Singapore 161022/162022","1.28797543998733","103.829626834637","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Holland Drive Blk 44 (Holland Drive Market and Food Centre)","HUP Standard Upgrading","44","270044","Holland Drive","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg","23487.74","32270.57","31/1/1999","Existing","I","31/3/2014","Blk 44, Holland Drive, Singapore 270044","1.30811775909823","103.792773765463","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Holland Village Market and Food Centre","HUP Rebuilding","1","277700","Lorong Mambong","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg","23720.25","32579.100000000002","Pre-War","Existing","I","12/12/2005","1, Lorong Mambong, Singapore 277700","1.31090802808558","103.794862936127","HC icons_Opt 8.jpg","1512.38",NA,NA,NA,NA,NA,NA,NA
"Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre)","HUP Rebuilding","105","530105","Hougang Ave 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg","34317.020000000004","37326.05","30/6/1982","Existing","I","11/11/2005","Blk 105, Hougang Ave 1, Singapore 530105","1.35383739101169","103.890081064953","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre)","HUP Standard Upgrading","209","530209","Hougang Street 21","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg","33860.340000000004","37910.1","30/9/1983","Existing","I","24/1/2011","Blk 209, Hougang Street 21, Singapore 530209","1.35911942212642","103.885977616903","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market)","HUP Standard Upgrading","4A","432004","Jalan Batu","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg","33633.770000000004","31640.43","3/1/1969","Existing","I","16/2/2012","Blk 4A, Jalan Batu, Singapore 432004","1.30241881353449","103.88394058022","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre)","HUP Standard Upgrading","112","160112","Jalan Bukit Merah","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg","27186.98","29161.95","1/1/1969","Existing","I","28/11/2013","Blk 112, Jalan Bukit Merah, Singapore 160112","1.28000481198881","103.826013285715","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre)","HUP Reconfiguration","6","150006","Jalan Bukit Merah","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg","25196.5","29930.23","11/10/1974","Existing","I","11/8/2006","Blk 6, Jalan Bukit Merah, Singapore 150006","1.28695275198944","103.808127999318","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jalan Kukoh Blk 1 (Kukoh 21 Food Centre)","HUP Standard Upgrading","1","161001","Jalan Kukoh","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg","28737.57","30071.510000000002","21/1/1969","Existing","I","4/10/2010","Blk 1, Jalan Kukoh, Singapore 161001","1.28823055540002","103.839945947186","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre)","HUP Standard Upgrading","347","600347","Jurong East Ave 1","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg","16677.58","36383.57","17/10/1984","Existing","I","31/12/2002","Blk 347, Jurong East Ave 1, Singapore 600347","1.34531247026793","103.731579747132","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre)","HUP Reconfiguration","254","600254","Jurong East Street 24","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg","17367.73","36176.73","30/4/1983","Existing","I","5/7/2006","Blk 254, Jurong East Street 24, Singapore 600254","1.34344213770991","103.737781231485","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Jurong West Hawker Centre","New Centre","50","648202","Jurong West Street 61","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg","12874.19","35935.62","28/7/2017","Under Construction",NA,NA,"Blk 50, Jurong West St 61, Singapore 648202","1.3412597060095","103.697404254467","HC icons_Opt 8.jpg","2987","Jurong West Hawker Centre","23/9/2015","15/10/2015",NA,NA,NA,NA
"Jurong West Street 52 Blk 505","HUP Standard Upgrading","505","640505","Jurong West Street 52","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg","15216.130000000001","36862.4","16/1/1985","Existing","I","2/1/2009","Blk 505, Jurong West Street 52, Singapore 640505","1.34964224318434","103.71844754363","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Kallang Estate Fresh Market and Food Centre","HUP Standard Upgrading","17","397972","Old Airport Road","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg","33654.86","32190.8","1959","Existing","I","31/10/2003","17, Old Airport Road, Singapore 397972","1.30739616009942","103.884130183315","HC icons_Opt 8.jpg","2629.19",NA,NA,NA,NA,NA,NA,NA
"Kampung Admiralty Hawker Centre","New Centre","676","730676","Woodlands Drive 71","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg","24369.66","46846","8/5/2017","Existing (new)",NA,NA,"Blk 676, Woodlands Drive 71, Singapore 730676","1.43993283228134","103.800696448529","HC icons_Opt 8.jpg","3440","Kampung Admiralty","17/10/2014","1/4/2014",NA,NA,"studio apartments/supermarket/shops/specialist centre/senior care centre/child care centre/senior activity centre",NA
"Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre)","Opted out of HUP","84","440084","Marine Parade Central","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg","36126.46","31625.71","23/8/1976","Existing","I",NA,"Blk 84, Marine Parade Central, Singapore 440084","1.30228513841822","103.906338526157","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
"Marine Terrace Blk 50A (50A Marine Terrace)","HUP Standard Upgrading","50A","441050","Marine Terrace","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg","37175.19","32011.65","3/3/1975","Existing","I","22/12/2008","Blk 50A, Marine Terrace, Singapore 441050","1.30577514781108","103.915761950557","HC icons_Opt 8.jpg",NA,NA,NA,NA,NA,NA,NA,NA
